#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-10-20T23:47:44 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-10-20T23:47:44	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-sort=_r&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/AJ/152/50/table3&-order=I&LEDA=LEDA&-out=Dist&-out=e_DM&-out=HV&2M=2M&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	editor=Astronomical Journal (AAS)	    Editor name (article)
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_50_table3:
#Name: J/AJ/152/50/table3
#Title: Individual galaxy properties
#Column	Dist	(F6.2)	[0.05/517.7] Luminosity distance measurement for the individual galaxy (d) (1)	[ucd=pos.distance;pos.heliocentric]
#Column	e_DM	(F5.2)	[0.1/0.6] One standard deviation uncertainty in DM ({epsilon}_{mu}_) (2)	[ucd=stat.error]
#Column	HV	(I5)	[-376/34770] Heliocentric Velocity (V_h_)	[ucd=spect.dopplerVeloc;pos.heliocentric]
Dist	e_DM	HV
 26.79	 0.30	 1821
134.90	 0.50	 9389
  3.61	 0.12	  -38
 60.26	 0.40	 3749
 16.52	 0.30	 1059
  3.53	 0.16	  231
149.28	 0.50	 9240
 46.77	 0.40	 4831
 45.50	 0.40	 2214
 71.45	 0.40	 3286
 33.42	 0.54	 2992
 33.88	 0.40	 2504
136.77	 0.40	 7570
 61.66	 0.50	 6023
  3.61	 0.16	  216
 39.08	 0.30	 2154
222.84	 0.50	14303
 46.13	 0.50	 3565
  3.77	 0.16	   53
  3.87	 0.16	   99
 37.84	 0.30	 2662
109.14	 0.50	 9559
 26.30	 0.54	 1381
 26.42	 0.54	 2415
 26.92	 0.40	 2403
 35.97	 0.28	 2564
 46.56	 0.54	 2916
  3.82	 0.20	   77
128.82	 0.40	 8469
 39.45	 0.50	 2806
 29.11	 0.30	 1169
181.97	 0.50	12254
109.65	 0.17	 7714
 27.42	 0.30	 2810
 34.83	 0.24	 2637
  0.78	 0.10	   24
 50.35	 0.54	 2445
113.24	 0.50	12136
 35.16	 0.40	 2710
 55.21	 0.50	 3863
 79.07	 0.50	 6414
 36.48	 0.30	 2472
  1.38	 0.12	  301
 56.49	 0.50	 4023
 76.56	 0.50	 6726
 38.19	 0.54	 2055
116.41	 0.40	 8675
 82.41	 0.50	10358
 91.62	 0.50	 6233
 60.26	 0.17	 4161
151.36	 0.40	 9078
133.66	 0.40	 7405
103.75	 0.50	 5959
116.41	 0.40	 6912
 34.04	 0.28	 1202
127.64	 0.40	 9796
169.82	 0.50	14854
118.03	 0.50	 6512
 72.11	 0.30	 3725
 93.76	 0.40	 6973
 75.86	 0.40	 5398
 38.19	 0.54	 1568
 25.47	 0.54	 1447
 55.46	 0.50	 4903
 39.63	 0.40	 1434
 20.61	 0.40	 1104
156.31	 0.50	 9378
 41.11	 0.54	 2093
 14.86	 0.54	  662
104.71	 0.50	 9810
 93.33	 0.40	 6249
  1.37	 0.12	  403
128.82	 0.50	 8634
 24.43	 0.54	 2204
  3.80	 0.14	   -7
 30.90	 0.30	 2732
 18.28	 0.40	  954
131.22	 0.40	 9135
  7.66	 0.54	  603
  1.34	 0.16	  361
 33.73	 0.30	 2833
119.12	 0.40	 6970
 77.27	 0.54	 5941
 14.72	 0.40	 1082
 23.66	 0.30	 1115
  7.69	 0.20	  481
  3.63	 0.16	    0
  3.61	 0.16	 -127
 91.20	 0.40	 5100
 82.79	 0.50	 4806
 10.28	 0.20	  649
 23.12	 0.30	 2791
  8.87	 0.20	  347
 15.42	 0.54	 1524
 89.13	 0.40	 4773
102.33	 0.20	 7206
 84.33	 0.40	 4984
 24.32	 0.28	 1706
110.15	 0.40	 4941
 83.56	 0.40	 5014
 83.95	 0.40	 4874
 38.73	 0.40	 1354
223.87	 0.50	15524
 29.92	 0.50	 2735
  3.73	 0.16	  -16
 40.93	 0.45	 3898
110.66	 0.40	 8854
 29.24	 0.40	 1339
 10.52	 0.30	  635
 10.52	 0.20	  542
 53.95	 0.30	 2756
 21.09	 0.54	 1111
 90.36	 0.50	 8028
 46.34	 0.54	 2199
  0.26	 0.12	  283
112.72	 0.40	 6428
 78.34	 0.40	 5078
 56.49	 0.50	 5036
 33.42	 0.50	 3471
 16.22	 0.30	 1104
145.21	 0.40	 7817
103.75	 0.50	 8548
120.78	 0.50	 8446
 85.51	 0.40	 6149
125.31	 0.50	 9200
 62.52	 0.40	 3669
 21.18	 0.28	 1783
 32.66	 0.50	 3114
 46.34	 0.30	 2716
 90.36	 0.50	 9511
  1.37	 0.12	  324
 93.76	 0.40	 9325
 31.62	 0.30	 2840
 82.79	 0.40	 5195
 75.51	 0.40	 4754
130.02	 0.40	 9624
 35.97	 0.30	 2503
 22.28	 0.28	 1346
167.49	 0.50	12178
  3.73	 0.20	  185
 40.55	 0.30	 2614
 34.67	 0.30	 2811
152.76	 0.35	13308
201.37	 0.50	12945
109.65	 0.50	 7947
146.55	 0.50	13019
207.01	 0.50	12726
206.06	 0.50	13297
136.77	 0.50	12496
 71.45	 0.50	 4380
101.86	 0.50	13937
204.17	 0.40	12730
162.93	 0.35	12381
 41.88	 0.40	 1220
 53.95	 0.40	 3609
231.21	 0.50	14207
 23.23	 0.20	 1240
134.28	 0.50	13925
 23.77	 0.54	 1639
186.21	 0.35	14477
137.40	 0.50	13581
109.65	 0.50	12248
 16.52	 0.30	 1090
 21.78	 0.54	 2605
 35.65	 0.30	 2990
 52.24	 0.40	 4386
 75.86	 0.40	 9415
 51.29	 0.50	 3713
 53.46	 0.40	 3317
166.72	 0.40	10271
105.20	 0.40	 6447
 68.23	 0.50	 3585
 93.76	 0.17	 7271
 66.37	 0.40	 3757
108.64	 0.40	 7653
126.47	 0.40	10885
 32.36	 0.30	 2924
 13.18	 0.30	 1163
 39.26	 0.17	 2814
 28.05	 0.30	 2745
124.74	 0.50	11528
124.17	 0.20	 9211
 20.61	 0.54	 1307
111.17	 0.40	 8297
 26.42	 0.30	 1248
 49.43	 0.30	 2945
 22.18	 0.17	 1323
 33.57	 0.28	 1370
 50.12	 0.31	 3520
128.82	 0.40	 7635
149.97	 0.40	 9784
 66.68	 0.40	 4519
 99.08	 0.50	 5480
 74.47	 0.40	 4576
 21.58	 0.30	 1468
 59.43	 0.50	 6878
 13.24	 0.17	  660
 52.72	 0.50	 3706
 64.57	 0.40	 4502
 62.52	 0.50	 3531
170.61	 0.50	12732
125.89	 0.50	 7295
 29.51	 0.54	 2762
114.29	 0.40	 5535
 33.57	 0.26	 2896
 30.90	 0.40	 2907
103.28	 0.50	 8525
 18.88	 0.30	 1162
 36.64	 0.40	 3094
 87.90	 0.40	 6841
 81.66	 0.40	 5264
 83.18	 0.40	 4666
159.22	 0.50	 9362
 77.62	 0.40	 5062
177.01	 0.50	 9433
150.66	 0.40	 9719
130.62	 0.50	 9314
120.78	 0.50	 9750
 95.50	 0.50	 9631
 23.55	 0.28	 1313
128.82	 0.50	 9179
 46.13	 0.40	 3129
133.05	 0.50	 7985
 63.10	 0.40	 5272
 38.90	 0.54	 3861
 56.49	 0.54	 2954
166.72	 0.50	10080
 97.72	 0.40	 5577
 29.11	 0.54	 1386
 45.29	 0.30	 2751
115.88	 0.50	 8217
 44.26	 0.30	 2121
 35.48	 0.54	 2030
 69.82	 0.40	 5545
 42.46	 0.30	 2359
139.96	 0.40	 9738
 28.84	 0.54	 1372
 76.56	 0.50	 5634
 61.38	 0.54	 4573
101.86	 0.50	 9586
 76.21	 0.50	 5589
 73.45	 0.40	 5564
  3.55	 0.16	   55
 28.97	 0.54	 1171
 43.25	 0.28	 2817
127.64	 0.50	10081
138.68	 0.40	 9401
 36.98	 0.45	 2145
 90.78	 0.30	 5699
 90.36	 0.40	 6663
 26.67	 0.30	 1326
 42.07	 0.30	 3128
137.40	 0.17	 9697
136.14	 0.50	 9683
137.40	 0.50	 9709
133.05	 0.20	10493
 21.28	 0.28	 1314
179.47	 0.40	 9714
 61.09	 0.40	 3889
147.91	 0.50	10543
147.91	 0.50	 8895
 42.46	 0.54	 2608
 96.38	 0.40	 6571
154.17	 0.40	 8865
 86.70	 0.40	 5440
  3.89	 0.16	   46
 75.51	 0.50	 2434
 20.80	 0.54	 1155
 34.99	 0.28	 3205
 48.53	 0.50	 4239
 32.51	 0.28	 2800
130.62	 0.40	 9933
 35.97	 0.30	 2440
 48.08	 0.40	 3568
 31.62	 0.30	 1359
113.76	 0.50	 9243
233.35	 0.17	16325
 57.02	 0.54	 3920
 54.20	 0.30	 3805
 45.29	 0.54	 2938
 36.81	 0.50	 3787
 35.32	 0.28	 2799
 52.48	 0.54	 4135
139.32	 0.40	 8698
279.25	 0.40	14818
 49.89	 0.50	 2449
  3.89	 0.16	   56
 42.46	 0.54	 2826
 20.32	 0.30	 1177
124.74	 0.40	 9921
 33.42	 0.54	 2568
 55.72	 0.54	 3781
 82.41	 0.30	 6258
160.69	 0.40	 9968
 38.55	 0.40	 2990
 92.90	 0.30	 6294
 25.35	 0.45	 2665
 60.53	 0.54	 4828
 70.15	 0.46	 4175
 22.80	 0.54	 2489
105.68	 0.50	 9224
109.65	 0.50	 1171
139.96	 0.50	 8861
 15.00	 0.54	  933
 26.30	 0.54	 3658
 15.42	 0.54	 1438
 33.57	 0.30	 1675
124.74	 0.40	 9880
131.83	 0.50	 8647
 78.34	 0.30	 3611
 98.17	 0.50	 8769
 82.41	 0.50	 5009
 15.92	 0.40	  965
126.47	 0.40	 9823
 61.09	 0.30	 3769
 85.51	 0.50	 9057
 56.23	 0.34	 3536
 63.39	 0.26	 3394
 67.92	 0.54	 2695
 75.16	 0.50	 4973
 72.78	 0.30	 3493
 31.48	 0.30	 2643
 24.77	 0.54	 2971
 44.67	 0.54	 4432
 19.50	 0.54	 1142
 33.27	 0.40	 1523
  3.31	 0.20	    0
 73.79	 0.50	 3528
 41.88	 0.54	 2954
 32.96	 0.30	 1392
 41.50	 0.46	 3182
 14.59	 0.30	 1305
 75.16	 0.46	 3235
102.33	 0.40	 7547
 88.72	 0.40	 6068
 57.02	 0.54	 2895
 50.82	 0.30	 3298
 52.48	 0.50	 3823
125.89	 0.40	 9754
 53.21	 0.46	 2300
114.82	 0.50	 5992
 56.23	 0.34	 3934
 60.81	 0.50	 4182
 63.68	 0.31	 5034
 28.71	 0.17	 1573
 59.70	 0.46	 3530
 46.34	 0.46	 3555
 60.81	 0.46	 2974
 44.87	 0.50	 4181
 63.39	 0.46	 2781
 56.75	 0.46	 3300
 67.30	 0.46	 4793
 48.53	 0.50	 4347
 47.64	 0.35	 3660
 71.78	 0.50	 3156
 51.29	 0.46	 4090
 51.29	 0.46	 4747
 42.07	 0.35	 3836
 34.99	 0.54	 3707
 50.35	 0.50	 2744
 80.91	 0.40	 6085
 54.45	 0.46	 4831
 39.26	 0.30	 2859
 60.53	 0.54	 3536
 48.08	 0.46	 3530
150.66	 0.40	 9654
 59.43	 0.45	 2857
 43.65	 0.30	 2890
 35.16	 0.21	 2773
 46.13	 0.50	 4805
 49.89	 0.50	 3756
 52.00	 0.46	 4021
131.22	 0.40	 7064
102.33	 0.17	 6741
128.82	 0.40	 9698
 79.07	 0.30	 3350
 39.63	 0.54	 1823
 48.53	 0.50	 4063
 32.51	 0.50	 4379
 66.99	 0.50	 4360
 59.98	 0.50	 3580
 42.46	 0.46	 2995
 64.57	 0.30	 3369
 67.92	 0.30	 4382
100.93	 0.40	 6516
 56.49	 0.50	 5229
 26.79	 0.30	 2004
119.12	 0.40	10378
165.20	 0.40	 8977
 52.48	 0.46	 3956
 36.14	 0.40	 1957
 64.57	 0.30	 4387
110.66	 0.40	 8272
 20.51	 0.40	 4413
 38.19	 0.30	 3463
101.39	 0.40	 8348
 38.73	 0.30	 2487
 80.17	 0.50	 5630
 13.06	 0.17	  739
 47.64	 0.30	 3762
 53.46	 0.30	 3080
 57.02	 0.30	 3881
 10.42	 0.20	  707
 23.99	 0.40	 3979
 24.55	 0.30	  852
 32.66	 0.50	 3841
 35.16	 0.30	 2315
 30.90	 0.30	 1529
 63.97	 0.40	 4161
140.60	 0.40	 6657
 87.90	 0.17	 6314
 31.19	 0.54	 3369
 52.97	 0.30	 3767
 36.14	 0.30	 3392
 92.04	 0.50	 6155
 31.92	 0.30	 2785
 26.18	 0.50	 4515
 81.66	 0.17	 5834
 45.08	 0.50	 3965
 76.56	 0.35	 6649
 58.08	 0.35	 4474
 20.80	 0.54	 2656
 46.13	 0.30	 4743
 40.36	 0.54	 3741
 24.43	 0.54	 3738
 75.16	 0.50	 6313
 51.05	 0.54	 4443
 98.17	 0.40	 6259
128.23	 0.40	 6598
 45.29	 0.46	 3711
 36.98	 0.30	 3187
 23.33	 0.30	 1298
145.21	 0.40	 9784
 57.81	 0.50	 5902
 36.64	 0.40	 2492
 12.71	 0.30	 1043
142.56	 0.40	10648
 27.04	 0.45	 2998
130.02	 0.20	 9362
 74.82	 0.30	 4520
  6.92	 0.20	  669
  9.82	 0.20	  583
 65.77	 0.40	 3467
124.74	 0.40	 6586
 56.75	 0.30	 3728
161.44	 0.50	10998
 36.48	 0.30	 2935
 27.04	 0.54	 1470
 10.57	 0.12	  776
 75.51	 0.40	 6140
131.22	 0.50	 8441
 42.66	 0.30	 2929
 71.45	 0.50	 4432
 27.16	 0.30	 1915
133.66	 0.50	 8455
 92.47	 0.40	 6249
 43.45	 0.30	 1890
 93.33	 0.40	 6566
151.36	 0.40	10063
 68.23	 0.50	 5508
 17.62	 0.30	  988
121.34	 0.50	10751
 18.88	 0.30	 1014
 10.67	 0.15	  892
 85.51	 0.20	 6282
 26.18	 0.12	 1283
 10.62	 0.16	  684
  6.92	 0.20	  715
 35.65	 0.30	 2716
130.62	 0.50	11590
 11.22	 0.14	  908
117.49	 0.50	11221
 94.19	 0.40	 5494
 10.05	 0.16	  563
 20.42	 0.30	 1306
 79.80	 0.40	 5654
 16.67	 0.54	  719
 20.99	 0.54	 1428
 19.05	 0.54	 3217
177.83	 0.50	11565
 15.14	 0.45	 1621
119.67	 0.50	11191
165.20	 0.40	10111
 53.70	 0.50	 4603
 91.20	 0.40	 6151
 66.68	 0.50	 4584
 65.77	 0.40	 3388
 11.27	 0.28	  843
 55.46	 0.20	 3232
 83.56	 0.50	 4446
100.00	 0.40	 7133
 25.59	 0.30	 1182
 25.70	 0.28	 1421
 64.86	 0.50	 4332
 48.53	 0.40	 3076
 15.78	 0.28	  636
 45.71	 0.54	 2484
 26.06	 0.30	 2054
120.23	 0.40	 8019
 93.76	 0.20	 6627
 79.07	 0.30	 4756
 23.66	 0.40	 1041
 80.91	 0.40	 5559
 30.76	 0.30	 1585
 13.87	 0.54	  617
110.66	 0.40	 6386
 24.21	 0.30	 1276
 67.61	 0.50	 5624
 48.53	 0.40	 2872
 50.58	 0.30	 3277
  3.94	 0.16	  116
152.76	 0.40	 9395
 25.70	 0.30	 1133
 64.57	 0.50	 4829
 51.05	 0.40	 2463
 14.00	 0.54	 1138
104.71	 0.40	 6338
 38.73	 0.30	 1908
146.55	 0.50	 8241
 94.62	 0.40	 7696
 26.92	 0.30	 1261
173.78	 0.17	12450
 45.29	 0.40	 4190
 78.34	 0.50	 8166
 28.05	 0.30	 1333
 95.06	 0.40	 5854
 19.59	 0.45	 1104
 29.51	 0.30	 1103
133.66	 0.40	 9482
 16.67	 0.40	 2005
162.18	 0.40	 9435
 51.76	 0.40	 3731
 97.27	 0.40	 5158
 20.51	 0.28	 1159
147.23	 0.40	 9963
 67.30	 0.30	 3948
 52.00	 0.40	 4560
 41.69	 0.40	 2169
 57.02	 0.30	 3334
 64.86	 0.50	 4642
 59.16	 0.50	 4864
 72.11	 0.50	 5667
 75.16	 0.50	 5767
 51.29	 0.50	 3870
119.67	 0.50	11238
162.93	 0.50	14299
104.23	 0.40	 6676
164.44	 0.50	11541
152.05	 0.40	 6426
189.67	 0.50	12254
 59.98	 0.54	 2910
136.14	 0.50	11958
136.77	 0.40	10281
 93.33	 0.40	 8893
134.90	 0.40	11678
 19.41	 0.45	 2115
173.78	 0.50	11726
 91.62	 0.40	 6672
102.33	 0.40	 6276
114.29	 0.40	 7723
 11.86	 0.28	  704
 31.19	 0.40	  946
 12.59	 0.45	  681
134.28	 0.40	 9307
 34.04	 0.30	 2180
147.23	 0.40	10716
 58.61	 0.50	 4009
 17.14	 0.40	 1300
 20.14	 0.40	 1391
 18.54	 0.30	 1126
 39.63	 0.30	 2994
 90.78	 0.40	 6284
 47.64	 0.30	 2946
130.62	 0.40	10415
 87.90	 0.40	 6572
133.66	 0.40	10682
 23.55	 0.30	 1129
 44.06	 0.40	 3620
 12.47	 0.30	 1105
124.74	 0.40	 8079
 16.83	 0.30	  706
 57.81	 0.50	 3780
 90.78	 0.50	 7978
 68.23	 0.50	 5456
 43.45	 0.54	 3162
 11.02	 0.40	  644
115.88	 0.50	10071
129.42	 0.50	 7968
 77.27	 0.54	 3718
 13.24	 0.30	  802
 57.54	 0.40	 3535
103.28	 0.40	 7206
100.93	 0.40	 8925
138.04	 0.50	 9400
164.44	 0.40	 9372
 37.67	 0.30	 2875
 25.23	 0.28	 1205
 11.59	 0.30	  759
 31.48	 0.30	 2207
 18.97	 0.30	 1420
 34.36	 0.54	 1550
 39.99	 0.30	 3122
131.22	 0.40	10090
204.17	 0.40	13568
107.15	 0.40	 7035
  9.73	 0.45	 1066
101.39	 0.50	13691
217.77	 0.40	11190
187.93	 0.40	12077
 70.47	 0.50	 4373
115.88	 0.50	 6274
 25.00	 0.40	 1500
172.19	 0.40	 9691
152.76	 0.50	 9659
 54.70	 0.50	 6305
131.83	 0.50	 9572
116.41	 0.50	 9454
 61.09	 0.50	 4453
136.77	 0.40	 8885
 20.70	 0.30	 1589
101.86	 0.40	 6279
 40.74	 0.24	 3057
 27.29	 0.40	 1409
108.64	 0.40	 9060
233.35	 0.17	17315
 36.14	 0.50	 2777
122.46	 0.50	 2338
 95.50	 0.40	 5795
 68.55	 0.40	 8922
 36.31	 0.40	 3247
 56.23	 0.40	 3928
 20.80	 0.30	 2443
 25.82	 0.40	 1492
 37.84	 0.30	 2762
 42.27	 0.30	 2851
103.28	 0.50	 7562
141.25	 0.40	 9895
 48.98	 0.50	 3695
  9.55	 0.30	  699
 92.04	 0.40	 8786
170.61	 0.40	10323
 99.54	 0.40	 8111
 78.70	 0.40	 6336
 12.36	 0.54	 1329
 18.79	 0.24	 1373
  0.24	 0.16	   86
 68.87	 0.40	 5165
128.23	 0.40	 7033
 47.64	 0.40	 3248
 21.48	 0.30	 1297
 29.79	 0.40	 2199
  8.95	 0.40	  631
 33.88	 0.54	 2004
204.17	 0.40	13972
 40.18	 0.30	 3369
 23.66	 0.30	 1969
 19.86	 0.28	  837
181.13	 0.50	12108
 42.46	 0.30	 3017
 94.19	 0.40	 5880
148.59	 0.40	 8159
 20.04	 0.28	  675
 22.49	 0.28	  930
 22.59	 0.28	 1211
 47.64	 0.40	 4334
 23.99	 0.40	 2612
 63.10	 0.50	 4453
166.72	 0.40	 9735
 31.77	 0.54	 1582
 94.19	 0.40	 7179
 28.58	 0.54	 1940
134.90	 0.40	 9330
 39.99	 0.40	 2873
 47.42	 0.30	 3096
 48.98	 0.50	 4351
  6.70	 0.12	  731
 34.99	 0.30	 2328
 34.83	 0.28	 1732
 97.72	 0.40	 7547
 30.06	 0.28	 2021
154.17	 0.40	 8580
100.00	 0.50	 5565
136.77	 0.40	 9119
 12.65	 0.30	  807
 85.90	 0.17	 6221
161.44	 0.40	10100
270.40	 0.20	20880
 99.08	 0.40	 7387
108.14	 0.40	 7557
 22.91	 0.24	 1487
 30.48	 0.54	 1337
 15.56	 0.45	 1302
  8.99	 0.13	  728
 10.47	 0.30	  845
 76.56	 0.40	 6191
 96.38	 0.50	 6895
 36.48	 0.30	 1946
 32.36	 0.40	 1507
 21.38	 0.50	 1816
 31.05	 0.30	 2182
160.69	 0.50	 8719
 88.31	 0.17	 6288
125.31	 0.40	10730
 26.92	 0.28	 1315
 27.04	 0.28	 1780
143.88	 0.50	10469
133.05	 0.50	10571
 87.90	 0.40	 7126
139.32	 0.50	10592
 54.95	 0.30	 4246
 96.38	 0.50	 8438
136.14	 0.50	13710
 46.56	 0.40	 3162
 21.18	 0.30	 1308
 46.99	 0.40	 2033
185.35	 0.40	10128
 90.78	 0.40	 2884
 25.82	 0.54	 1572
 68.23	 0.40	 4182
 23.99	 0.30	 1995
 92.90	 0.40	 3763
 73.45	 0.40	 5205
 26.92	 0.30	 1013
 34.51	 0.30	 1501
 82.41	 0.54	 5207
 21.48	 0.30	  792
146.55	 0.50	10344
146.55	 0.50	10418
 24.55	 0.30	 1285
112.20	 0.40	 5632
 70.79	 0.16	 5038
124.17	 0.40	 7685
152.05	 0.40	 9971
 27.93	 0.30	 1574
 50.35	 0.40	 5207
 17.78	 0.30	 1059
 56.49	 0.50	 5466
 44.06	 0.40	 5382
 27.04	 0.17	 1866
 20.32	 0.30	 1939
 21.88	 0.30	 1846
160.69	 0.50	10220
 79.07	 0.40	 3471
102.80	 0.50	 5722
 83.18	 0.40	 5333
 71.45	 0.40	 5577
 18.28	 0.30	  768
111.69	 0.40	 6306
 92.47	 0.50	 6617
112.20	 0.50	10290
159.22	 0.40	12293
 50.82	 0.40	 3207
 61.09	 0.50	 4176
 20.80	 0.45	  649
110.15	 0.40	 7160
 32.06	 0.30	 1709
  4.53	 0.16	  -92
 36.81	 0.30	 3019
 45.71	 0.30	 2738
 44.87	 0.50	 4952
 86.70	 0.40	 6311
 38.02	 0.30	 1718
104.71	 0.40	 6310
107.15	 0.50	 6545
 89.54	 0.30	 6265
 65.16	 0.40	 3893
101.86	 0.40	 6224
 41.30	 0.30	 2428
 38.02	 0.30	 2804
121.34	 0.40	 8922
 33.73	 0.50	 2980
 41.88	 0.50	 3552
 58.88	 0.50	 5308
 19.68	 0.30	 1018
100.46	 0.50	 6717
 87.10	 0.40	 6136
 18.97	 0.54	 1583
 90.78	 0.40	 6306
 41.50	 0.30	 2914
 19.23	 0.30	 1733
 41.30	 0.40	 2120
 46.77	 0.54	 2491
 83.56	 0.40	 4865
133.66	 0.40	 5807
103.75	 0.40	 5837
 85.11	 0.40	 3651
 81.28	 0.50	 6323
 28.97	 0.30	 1918
117.49	 0.50	10097
 90.78	 0.30	 6130
 83.18	 0.40	 5370
181.13	 0.50	15584
 61.66	 0.50	 4995
 72.44	 0.40	 6414
 16.67	 0.30	 1271
 13.49	 0.30	  865
 80.91	 0.40	 6269
  4.23	 0.20	  251
 83.56	 0.40	 7147
 33.57	 0.40	 3319
158.49	 0.40	 9165
 65.77	 0.40	 3664
 29.24	 0.54	 1605
117.49	 0.50	 9613
 99.54	 0.40	 6439
125.31	 0.50	 9541
 67.61	 0.40	 5015
 43.85	 0.40	 3224
 78.34	 0.40	 5442
 21.78	 0.54	 1184
102.33	 0.40	 5121
147.91	 0.40	10088
 39.81	 0.50	 2718
 68.23	 0.40	 5908
145.21	 0.40	 9602
 87.50	 0.40	 5084
  5.30	 0.20	  224
 94.19	 0.40	 6376
 40.93	 0.30	 2694
  3.22	 0.16	  229
 85.11	 0.50	 4241
 33.73	 0.30	 1216
 55.21	 0.40	 3222
158.49	 0.50	11223
 32.06	 0.30	 1571
 15.35	 0.40	 1106
167.49	 0.50	 9646
 83.56	 0.40	 5026
128.82	 0.40	 7120
 21.28	 0.30	 1290
 52.48	 0.50	 5916
164.44	 0.40	10336
 98.17	 0.30	 6209
 70.15	 0.30	 3959
 37.67	 0.54	 2810
208.93	 0.40	10211
102.80	 0.40	 8788
140.60	 0.50	 8957
 55.21	 0.40	 4037
128.23	 0.40	 7734
 89.54	 0.30	 6861
226.99	 0.40	14911
 20.99	 0.30	 1040
 14.00	 0.45	  713
 38.37	 0.40	 2277
  6.00	 0.20	  654
102.80	 0.40	 6547
125.31	 0.16	 8818
 24.43	 0.30	 1628
123.03	 0.40	 7995
 85.51	 0.40	 5128
 86.70	 0.40	 4126
 53.21	 0.40	 3358
 92.47	 0.40	 6237
112.20	 0.20	 7712
 32.06	 0.30	 1852
 85.51	 0.40	 6613
 80.17	 0.40	 5418
 97.27	 0.50	 5624
 87.90	 0.40	 8089
 86.30	 0.30	 6777
157.76	 0.40	 7766
 24.21	 0.40	 1145
 80.91	 0.40	 3475
153.46	 0.50	11534
 84.72	 0.50	 5524
 61.94	 0.54	 2752
107.65	 0.40	 9796
 21.28	 0.54	 1982
136.14	 0.40	10270
 24.77	 0.30	 1213
115.35	 0.50	 9909
 91.20	 0.50	 6534
 26.06	 0.40	 1544
 21.78	 0.30	 1383
 49.66	 0.40	 3180
 15.92	 0.30	  994
 63.97	 0.50	 5428
117.49	 0.40	 7108
 63.97	 0.40	 3084
 21.48	 0.30	 1466
 36.31	 0.24	 1696
 49.20	 0.40	 3704
137.40	 0.50	 6724
 80.91	 0.30	 7806
 97.72	 0.50	 5814
 18.28	 0.30	  974
 90.36	 0.30	 5971
 67.30	 0.40	 6717
192.31	 0.50	14214
 89.54	 0.40	 6537
 71.45	 0.30	 6330
 74.47	 0.54	 5172
211.84	 0.50	15183
 31.77	 0.54	 1686
 88.31	 0.40	 6816
 80.17	 0.40	 4783
 49.66	 0.50	 4948
 85.11	 0.40	 6098
176.20	 0.50	 9586
 72.44	 0.30	 6543
 95.94	 0.40	 6060
 67.61	 0.40	 5981
134.28	 0.45	 6717
100.93	 0.46	 6316
 60.81	 0.30	 5913
 92.47	 0.50	 6340
104.71	 0.46	 6235
 47.42	 0.30	 2456
209.89	 0.50	 9933
116.41	 0.50	 6377
139.96	 0.40	 8608
112.72	 0.40	 6079
 53.46	 0.40	 6190
110.66	 0.40	 8532
 72.11	 0.50	 5705
 90.36	 0.40	 5479
131.22	 0.50	 6657
 91.20	 0.50	 6469
 92.47	 0.30	 5087
 86.70	 0.40	 5903
 91.20	 0.46	 6474
 63.39	 0.40	 4485
 64.27	 0.40	 7818
 66.68	 0.50	 8248
 23.01	 0.30	 1715
155.60	 0.50	10390
 16.07	 0.40	 1813
 96.38	 0.40	 6267
 19.41	 0.30	 1154
 34.36	 0.30	 1843
 75.51	 0.17	 5415
 81.66	 0.40	 5997
 69.50	 0.30	 7068
 11.80	 0.40	  753
 15.56	 0.30	  889
113.24	 0.30	 6947
 29.51	 0.54	 2694
 66.07	 0.40	 6404
 22.80	 0.30	 1941
 30.90	 0.40	 3155
 28.31	 0.54	 1432
 76.91	 0.40	 4509
 85.90	 0.50	 5860
  4.61	 0.20	   82
137.40	 0.45	 5859
112.72	 0.30	 6167
 59.98	 0.50	 7238
  9.86	 0.40	  925
101.86	 0.16	 6285
 54.95	 0.30	 2419
 45.92	 0.40	 3165
100.00	 0.30	 6821
